,review,sentiment
43151,"This landmark film can now be seen in two different versions on the Grapevine Video release which also includes the English translation of Selma Lagerlof's novel which she based on a Swedish folktale. The first version is the Swedish edit under the title of THE PHANTOM CARRIAGE. The second version is a reconstruction of the way it was shown in the United States under the title of THE STROKE OF MIDNIGHT as released by Metro (before it was M-G- M). The actual US release has long vanished but a detailed review in The New York Times lets us know how the scenes were reordered for domestic release -- and both are fascinating to see. Each version of this film was presented at The Organ Loft in Salt Lake City with live theatre organ scores provided by artist Blaine Gale. A live recording was made of these performances and are included on the Grapevine Video DVD along with the novel and notes about the two versions. While THE PHANTOM CARRIAGE follows the order of Lagerlof's novel, THE STROKE OF MIDNIGHT is in some ways easier to follow. Seeing the two different edits is an education in how silent films could be changed effectively for release in different countries. <br /><br />Some viewers look at this film as a horror film which it certainly is not. This is a morality play with shades of the supernatural used to hit home its stark message. The directing and lead performance by the great Victor Sjostrom were way ahead of their time. It's easy to see why M-G-M brought him to Hollywood to direct such films as Lillian Gish in THE SCARLET LETTER and THE WIND as well as Lon Chaney in HE WHO GETS SLAPPED. In America he was known as Victor Seastrom. He would also star in the lead role of Ingmar Bergman's WILD STRAWBERRIES, giving a masterful performance. Bergman was greatly influenced by KORKARLEN or THE PHANTOM CARRIAGE in his earlier days. <br /><br />This is a powerful film that is well worth taking some time to discover and study. The Grapevine Video release is an excellent way to do this.",positive
6368,"This is one of the greatest 80s movies!!! It sticks out like a ""turd in a punchbowl""!! I can't believe Mad Magazine denounced it or whatever. And yet, they proudly put their name on a show with ""Stuart"", ""I-speak-a-no-enlish Chinese lady"" and ""UPS guy on speed"". What's up with that? And, I LOVE Ron Leibman-he's foxy!! Wonder why he had his name removed from the credits? It was his funniest role that I know of. Of course, he's not nearly as foxy as he was in Norma Rae. But, in my opinion, this movie is right up there with National Lampoon's Vacation. If you liked movies such as Porky's, Fast Times, Last American Virgin, or any of the other 80s teen-focused movies, you'll love this one!! Rent it and you'll see what I mean!!",positive
23290,"I loved Dedee Pfeiffer (is that spelled right?) in Cybil. Haven't seen her for awhile and forgot how much I missed her. I thought she did a great job in this. The supporting cast was pretty good too. In some angles, the daughter even looked like a young Nicole Kidman. The abductor was pretty creepy and the story generally had some good twists. The young boyfriend was a hottie. I thought the husband definitely had something to do with it for sure.<br /><br />Just got the Lifetime Movie Network for Christmas and am loving these movies. Kept my interest and I'll watch it again when they rerun it. Can anyone else recommend any similar movies to this? You can post on the board or send me a private email if you want. Thanks in advance. Aboutagirly.",positive
41456,"I'm a big fan of films where people get conned, and House of Games is almost the pinnacle of the 'films where people get conned' genre. In short, it's an exceptional thriller that keeps you on the edge of your seat by providing interesting characters with many levels, and never truly revealing what's happening, while throwing in many twists and surprises to upset completely what you've just seen. The film cons the audience on many occasions, and despite us knowing this; it's still difficult to guess where it's going, and every twist comes off as a surprise. As mentioned, I'm a big fan of cons in movies and the plot of this one follows a female psychiatrist who receives a patient with a huge debt owed to a fellow gambler. She then goes to the gambler in an attempt to help out her patient, and on the way gets drawn into the art of reading people in order to pull off a con.<br /><br />House of Games breathes a sleazy atmosphere throughout, and David Mamet does well in establishing his film's setting in the underground levels of the city. The film is well acted also, with all concerned bringing life and believability to their characters with the greatest of skill. Joe Mantegna stars as the con man at the heart of the film, and although his performance is a little under wrought, he's always solid and believable as the villain of the piece. Lindsay Crouse stars alongside him as the psychiatrist seduced by his work, and again is believable in her role. She may not be the greatest looker, but at least she can act. The way that the film executes it's plot is the main star of the show, however, and you will no doubt be amazed on multiple occasions as to how the film constantly manages to amaze and deceive the viewer. At times it's almost like we are in the thick of the action and being conned by the con men in the film. Another thing that's great about this film is the way that it shows the audience how to pull off certain cons, which is useful if you're interested in making twenty bucks, say. All in all, House of Games is a truly first rate thrill ride.",positive
7441,"OH MY GOD.. THE WORST SH*T I'VE EVER SEEN -this is the main thought which came into my mind right after watching the movie. And I really do not understand anybody with opposite myth. Though, maybe the idea was good but the effect miserable. I especially mean the role of H. Graham. What was that??? In my opinion it has destroyed all positive intentions of producers. The character was played in affected and annoying way. Every time she appears it reminds that you' re watching a movie and is destroying a spirit of the moment, then whole movie because the most time what you can see there are her stupid faces with more stupid attempts to create the emotion. TERRIBLE, don't waste your time.",negative
25561,"Being the second last of Chaplin's Essanay films, CARMEN is a parody of Cecil B. Demille's drama with the same title. It stands as quite obvious that Demille's acknowledged film didn't impress the comedy king that much, which he later admitted in his autobiography.<br /><br />Parodies were not a new experiment for Chaplin. He had done several of them already, namely HIS PREHISTORIC PAST and HIS NEW JOB, and would continue to do so until the very end of his career in films (for instance in A KING IN NEW YORK).<br /><br />Chaplin does a very good portrayal of Don José, and Edna Purviance's is very as good as Carmen. Neither act as we are used to; Charlie is not the lovable Tramp and Edna is far from an innocent little woman, but that was not Chaplin's intentions, either. A BURLESQUE ON CARMEN is a somewhat odd Chaplin-film, very different, but includes good material nonetheless.<br /><br />The main story is, although very differently structured, as in the original drama. Don José is very much in love with Carmen, but is not alone in that field; ""Carmen, Carmen, (the) beautiful Carmen, (is) loved by all men under 96,"" but he has the big advantage that he is an officer, and there we are; this is the famous story about rivalry, love, greed and honor, seen from a humorous perspective. Thanks to Chaplin's and Purviance's performances, and to the wonderful, wonderful music by George Bizet which I highly admire, this could actually have been a near-comedy masterpiece, it's time taken into consideration. It could have been. But unfortunately, although it is a good pretty good comedy, I don't feel it's fair to blame people who claim that A BURLESQUE OF CARMEN is far from being a masterpiece. But it's important to keep in mind that this has nothing to do with any lack of talent, but rather a result of conflicts concerning business. When Chaplin refused to re-sign Essanay contract after completing his last film for the company, POLICE, they took revenge by editing back all the scenes Chaplin originally had edited out from CARMEN. Thanks to this, the film is somewhat confusing and has several pointless scenes which are more annoying than funny, and the film turned out to be rather a Ben Turpin-feature --Turpin played Remendados-- than a Chaplin-short. Naturally, Chaplin was in despair when he discovered what Essanay had done, and had to stay in bed for several days.<br /><br />Despite its obvious flaws, A BURLESQUE OF CARMEN is highly recommended to Chaplin-fans and to admirers of beautiful music.",positive
22432,"I just saw this movie on Showtime in the wee hours of the night. I was viewing the beginning with one eye open, but instead of drifting off to sleep, I became invested in this crafty, nail-bitter of a movie. It was very believable and engaging. I could have done without so much profanity(as with every David Mamet movie I see), but thoroughly enjoyed the experience. I know teenagers swear, but I don't need to listen to it. Anyways, the story had some interesting surprises which I won't reveal but if you have a chance to catch this movie on Showtime, I think you will enjoy it as much as I have.",positive
35964,"""Head"" is one of those films you'll have a lot of trouble convincing your friends to see, but once they do they'll fall in love with it. I don't know how many times this has happened to me. This film is just so funny and bizarre, really a deconstruction of everything the Monkees had been up to this point in their career. A lot the credit goes to Bob Rafelson who pretty much ended the Monkee's career with this film. My guess is he wanted to get out of directing the TV show and get into features, which he did in a big way after this one. Micky Dolenz is absolutely hilarious. I can't believe he didn't have a second life as a comic actor after this film. This film has a lot of great cameos and a lot of wonderful psychedelic nonsense. I feel like the reputation of this film is continuing to build and it wouldn't surprise me if it eventually becomes a full on cult classic",positive
29261,"50 years old, this musical comedy fantasy might look its age, but it wears it with dignity.<br /><br />This film is still great fun. Crosby was never really romantic lead material, but he delivers the material with the lightly humorous edge it needs. Bendix plays broad and is huge fun in a part which calls upon his strengths. Hardwicke - how joyous for a knight of the realm - a genuine one - to throw himself into caperings like this with such abandon. And Rhonda Fleming enjoys herself in the least showy of the main roles. Only Murvyn Vye disappoints as an unconvincing Merlin.<br /><br />Though not a musical, the songs are very good, and the ""dance"" routine accompanying Busy Doing Nothing is perfect - funny, appropriate, dexterous without being challenging, and making a virtue out of Crosby's musical movement which, let's be fair, was inherently amusing due ti its never being his greatest strength.<br /><br />The colour is fine, the sound is a little muddy in places.<br /><br />And the story - well, it takes some liberties with the original, but I suspect that Mr Clemens might well have been pleased with the result.",positive
48599,"The 1990's begun to have day time talk shows sprout up left and right. Every network had one, and they all lacked one thing Originality. Ricky Lake was just another show to entertain the obese trailer park mother with a Marlboro cigarette hanging out of her mouth while breast feeding one of her dozens of toothless, illiterate children. The English language and other cornerstones of mankind where ruined by this shows existence. Titltes ranging from Girl you a Pigeon Head and so on. How could anyone want to watch this pure and utter garbage? Has our society really became nothing more than a bunch of hill billy's and dead beat fathers? The people who appear on this show were Trash. The people who watched this show were Trash. Anyone that wishes to see this show re aired or put onto DVD is TRASH. People wonder why Americans are becoming huge piles of lard and too fat to even get jobs, its having shows like this tell them Its OK to be 500lbs overweight, and have 12 year old girls act like prostitutes. Having such trash on TV has ruined morals.",negative
16890,"I find it rather useless to comment on this ""movie"" for the simplest reason that it has nothing to comment upon.It's similar to a rotten egg which has nothing good to show to the world excerpt for the fact that it is rotten as other endless number of eggs have been before it. But since a comment is mandatory for such a grandiose insignificance ... <br /><br />Filth is definitely the proper word to describe this movie created in the same manner as any other Romanian ""movie"" directed by Lucian Pintilie who insists to depict the so called ""Romanian reality"" following the Communist era (1990 to present days).<br /><br />Under no circumstances recommended for people outside Romania as for the others (who lately find amateurish camera, lack of plot, lack of directorial / actors's quality etc, noise etc. as being trendy and even art-like) : watch & enjoy this ""movie"" (as I know you will) but do the other well intentioned IMDb members a favor, don't write an online review for it will misguide, irritate and in the end waste their time.<br /><br />On the other hand this movie (among others) has some value whatsoever, an educational one for it sets the example for : ""How NOT to make a movie.""",negative
35760,"From the opening scenes of FIERCE PEOPLE (an interplay of tribal customs as photographed by the anthropologist father of the young narrator Finn Earl, demonstrating why this South American tribe of Ishkanani is so fierce) the direction of the film is nebulous: are we watching a dark comedy about comparing life in the New York streets to uncivilized peoples, or is this a message film of a more serious intent? But as the story develops this fine line between entertainment and philosophical impact becomes increasingly clear. Griffin Dunne's direction of Dirk Wittenborn's adaptation of his novel may be a bit careless at times as it strays from rational plot development, but in the end there is a strong enough final impact to patch up the holes he created.<br /><br />Our narrator Finn Earl (Anton Yelchin) lives with his coke-addicted masseuse/sexually obsessed mother Liz (Diane Lane) in New York, waiting for the summer when he is to join his anthropologist father on a field trip to South America (a father he knows only from letters and videos), when a drug bust abruptly changes their lives: one of Liz's wealthy clients Ogden Osborne (Donald Sutherland) rescues the down and out family and moves them to his ten acre estate, the epitome of wealth and power. In exchange for being Osborne's private masseuse, Liz and Finn can live in the mansion with the 'filthy rich' Osbornes - daughter Mrs. Langley (Elizabeth Perkins) and grandchildren Bryce (Chris Evans) and Maya (Kristen Stewart). Osborne and his physician lead Liz on the drying out path and Finn bonds with Osborne and his grandchildren, and despite the disparity in poor versus wealthy, the living situation works - for a while. Incidents occur to alter feelings and Finn is attacked and raped by a masked assailant, a turning point for the film and Finn's view of the Osborne family. Osborne reveals his past to Finn and together they manage to discover the truth about Finn's troubling incident - and also about the fierce disease of the wealthy class.<br /><br />The film uses many clips of tribal activity during the film, drawing some disturbing parallels for some of the more challenging scenes. For this viewer that works well, but when the director elects to place tribal individuals in full regalia within the context of the Osborne estate, the concept feel contrived, as though the audience has to be forced to 'get it'. The various subplots between maid Jilly (Paz de la Huerta) and Finn and the introduction of an obese retarded chalk artist Whitney (Branden Williams) push the credibility edge of emphasizing the line between the wealthy and the 'lower class', but the performances by Sutherland, Lane, and Yelchin are strong enough to make us forgive the film's lapses. Not a great film but one with a lot of worthy ideas splashed around on the screen of a project that often feels lost in its struggle for direction. Grady Harp",positive
28370,"In Panic In The Streets Richard Widmark plays U.S. Navy doctor who has his week rudely interrupted with a corpse that contains plague. As cop Paul Douglas properly points out the guy died from two bullets in the chest. That's not the issue here, the two of them become unwilling partners in an effort to find the killers and anyone else exposed to the disease.<br /><br />As was pointed out by any number of people, for some reason director Elia Kazan did not bother to cast the small parts with anyone that sounds like they're from Louisiana. Having been to New Orleans where the story takes place I can personally attest to that. Richard Widmark and his wife Barbara Bel Geddes can be excused because as a Navy doctor he could be assigned there, but for those that are natives it doesn't work.<br /><br />But with plague out there and the news being kept a secret, the New Orleans PD starts a dragnet of the city's underworld. The dead guy came off a ship from Europe and he had underworld connections. A New Orleans wise guy played by Jack Palance jumps to a whole bunch of erroneous conclusions and starts harassing a cousin of the dead guy who is starting to show plague symptoms. Palance got rave reviews in the first film where he received notice.<br /><br />Personally my favorite in this film is Zero Mostel. This happened right before Mostel was blacklisted and around that time he made a specialty of playing would be tough guys who are really toadies. He plays the same kind of role in the Humphrey Bogart film, The Enforcer. Sadly I can kind of identify with Mostel in that last chase scene where he and Palance are being chased down by Widmark, Douglas, and half the New Orleans Police. Seeing the weight challenged Zero trying to keep up with Palance was something else because I'm kind of in Zero's league now in the heft department.<br /><br />Kazan kept the action going at a good clip, there's very little down time in this film. If there was any less it would be an Indiana Jones film. Panic In The Streets won an Oscar for Best Original Screenplay that year.<br /><br />Kazan also made good use of the New Orleans waterfront and the French Quarter. Some of the same kinds of shots are later used in On the Waterfront. In fact Panic In The Streets is about people not squealing when they really should in their own best interest. Very similar again to On the Waterfront.<br /><br />Panic In The Streets does everyone proud who was associated with it. Now why couldn't Elia Kazan get some decent New Orleans sounding people in the small roles.",positive
22127,"The movie, which was directed by Alfred Hitchcock, was brilliantly made. It starts with a family of three, a doctor (James Stewart), his wife (Doris Day)- who is a former stage singer, and their young son- my guess is about 10 years old, who are traveling through Morroco for leisure. On the bus, the bump into a French government agent, and they are a little too nice to him. He is killed at the marketplace after finding out the information he sought. He wants to carry this information out to someone, so he goes to the only person he, even slightly, knows: James Stewart. The antagonists kidnap their young boy and say if he tells anything about what the agent told him, his son would be killed. Stewart has to travel to London, because that is where his son is, and where the assasination that the agent told him about would be. The movie is very suspenseful. There are many twists and turns (typical Hitchcock movie). Also, it has just the right amount of comic relief. In addition to all of that, it won an Oscar for Doris Day's performance of ""Que sara, sara."" This movie is very good. It is hard to find a problem about it. I would certainly reccomend it to all Hitchcock fans and all suspense fans. I give this movie an ""A-"" only because it is a little bit predictable.",positive
32997,"I was very excited when this series premiered in 2005. The premise was very simple and appealing: each episode would be a one-hour mini movie directed by a famous, noteworthy horror director. Then, when I finally watched them it was a bit of a letdown. Some good episodes emerged from that first season, but all in all it was a mixed bag. I attributed it to the learning curve, and figured that season 2 would be a whole lot better.<br /><br />Boy, was I in for a shock. At least season one had a few good stories here and there. Season 2 (with the exception of ""The Black Cat"" starring the excellent Jeffrey Combs) was a complete and total loss to me. The episode ""Sounds Like"" may very well be the worst thing I have watched on TV in the last 10 years, and most of the other episodes aren't much better. I really hope that season 3 turns this around next year, but I'm not holding my breath.",negative
21259,"Really, They spelled it BRAIN in the credits, not BRIAN.<br /><br />OK, they didn't have the budget for a spell checker. All the production money went for great old cars. There are at least two Packards visible here. One is a Darin Convertible. A nice yellow Packard convertible.<br /><br />The scenes of the movie studio show that there was some money spent for costumes and set decorations. Old Cameras, an exterior of Ciro's, street signs and whatever was needed to make a visually pleasing picture was there. Poorly written and directed.<br /><br />My DVD says it runs for 104 minutes, approximately. It was more like 85 minutes. It came to an end without reaching a conclusion. There was a collision but no conclusion. The movie just smashed up against the credits. 99 cents for this. I paid 99 cents for this. I could have bought 3 cans of cat food and watched my cat's face as he emoted more excitement.<br /><br />For a few seconds in the Ciro's scene after Darren McGavin gets a phone call, it looked like, maybe... this movie would have a surprise twist that would make for an interesting film. Then it just sat there.<br /><br />The young Latin actor played by Steven Bauer (Tony Montoya) could have had a much bigger part in all that was going on here. This cast could have made a good film.<br /><br />I think if they cut Brian's part and use Steven Bauer in his place and change the script and keep the Packards and lose the band and add a Johnny Otis sound alike band, then they got something.<br /><br />Here Kitty, Kitty...<br /><br />Tom Willett",negative
10063,"i can't believe how dumb this movie truly is. the storyline (written by keira knightley's mother) is what ruins the movie to the extreme. it is straight out dull, absurd, and makes absolutely no sense whatsoever...<br /><br />this movie lagged so bad for most of it, especially at the beginning. the story just kept going on and on about their everyday flirts with each other, often times seeming like a threesome. in this movie, you have an annoying deadbeat couple (the poet and his wife) who are complete total drunks from the start. the wife sleeps around with other men to make ends meet, while the poet is a pervert who thrives on cheap boos and women. the wife, who waaayyyyyy too quickly becomes friends with his former childhood lover (played by keira) suddenly gets jealous, knowing full well that the two were lovers since they were kids. something doesn't seem right here....i mean, come on... get with the program lady! what'd you expect.<br /><br />bottom line is: former lovers meet again with new wife embracing it, then gets jealous, then former woman lover gets married and her husband gets jealous, bombards the crazy drunk couple's home, crazy husband calls police, and they end up going to court for the man's attempted murder charges. that's it summed up in a nutshell...<br /><br />this movie had it's moments such as the quality and good acting by cillian murphy, but other than that, i cannot believe i watched it... i complained about it during the movie and some family members watching it with me fell asleep. i decided to give it a chance and i should have stuck to my first instincts.",negative
